fp,status,id,cpu,memory,duration,source
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id7900_p1.json,finished,f70537f3-b7fd-49ec-bd6a-0524e5e0bd11,33530 cpu-seconds,136504751 mb-seconds,532,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id9100_p0.json,finished,e7afad2d-13ec-4e99-9a0a-941cc4680f20,2082 cpu-seconds,7966044 mb-seconds,285,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id9120_p0.json,finished,19ee45c0-dfef-489c-9b24-ffc4f78b61f1,66089 cpu-seconds,269433248 mb-seconds,754,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id9213_p0.json,finished,536965b4-817e-4215-a2ff-43ae800a1805,34728 cpu-seconds,141505955 mb-seconds,513,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id9510_p0.json,finished,86ea6367-fa46-4faa-818d-500d0232557f,38481 cpu-seconds,156816318 mb-seconds,525,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id9600_p0.json,finished,49c21735-9b35-492d-9171-bd6554d6ff02,8361 cpu-seconds,33512177 mb-seconds,389,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id1400_p0.json,finished,615449e3-f151-43a0-a5a7-e8dab2e9fb7d,27 cpu-seconds,42369 mb-seconds,267,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id1610_p0.json,finished,46a523a0-be6c-4fd1-ba59-b61d50de62fd,2667 cpu-seconds,10238212 mb-seconds,343,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2130_p0.json,finished,2dec93c6-9c3a-44c2-9b8d-cff11a2f476f,16504 cpu-seconds,66471470 mb-seconds,599,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2140_p0.json,finished,7c1a93f6-657f-45eb-84fa-7999210ab540,1863 cpu-seconds,7022407 mb-seconds,305,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2160_p0.json,finished,d36397bf-30fc-4f79-b87b-3aa7b5db9b63,4874 cpu-seconds,19060188 mb-seconds,509,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2170_p0.json,finished,6f1ef620-593c-4adf-b54a-0e884141ef27,14006 cpu-seconds,55999225 mb-seconds,832,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2190_p0.json,finished,947509cd-f734-4fa5-8244-3e841f914cb7,18396 cpu-seconds,74809875 mb-seconds,1509,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2260_p0.json,finished,1c377b85-2ded-4e8e-825e-295182cbfe74,3061 cpu-seconds,11970511 mb-seconds,1366,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2290_p0.json,finished,5bf06bfb-572a-4320-862b-1be4ca21814f,4586 cpu-seconds,18208235 mb-seconds,311,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2019_zone31_id2310_p0.json,finished,0c5249e5-98f1-441a-af92-c903488dc54a,16261 cpu-seconds,66005889 mb-seconds,365,tbd
